,antibiotic,accuracy,auc,kappa,mcc,f1_resistant,precision_resistant,recall_resistant,macro_f1,decision_threshold
CIP,CIP,0.9197530864197531,0.9726027397260273,0.8389169343735658,0.8405316442515028,0.9139072847682119,0.8846153846153846,0.9452054794520548,0.9193813880488458,0.3
CTX,CTX,0.8024691358024691,0.8526234567901234,0.6022099447513812,0.6029557956885957,0.7837837837837838,0.7631578947368421,0.8055555555555556,0.8009828009828011,0.5
CTZ,CTZ,0.7962962962962963,0.7957519116397621,0.5396934733941794,0.5401666212659305,0.6915887850467289,0.7115384615384616,0.6727272727272727,0.7697575261639175,0.62
GEN,GEN,0.7777777777777778,0.7417232597623089,0.30505243088655865,0.313582054087123,0.4375,0.5384615384615384,0.3684210526315789,0.6495192307692308,0.505
