,antibiotic,accuracy,auc,kappa,mcc,f1_resistant,precision_resistant,recall_resistant,macro_f1
CIP,CIP,0.9629629629629628,0.98491611513006,0.9251962444205016,0.9251962444205016,0.958904109589041,0.958904109589041,0.958904109589041,0.9625981222102508
CTX,CTX,0.7962962962962963,0.8888888888888888,0.5914718019257221,0.593705223944378,0.7814569536423841,0.7468354430379747,0.8194444444444444,0.7953527542778395
CTZ,CTZ,0.7777777777777778,0.8339847068819031,0.5131073634997495,0.5138598768708632,0.6842105263157895,0.6610169491525424,0.7090909090909091,0.7563909774436091
GEN,GEN,0.7716049382716049,0.761990662139219,0.3917190988431094,0.3930492388881225,0.5432098765432098,0.5116279069767442,0.5789473684210527,0.6954732510288066
